,calender,GDP1,GDP2,GDP3,GDP4
132,2010-10-10,0.029304959,0.019982519,0.024130492,0.020283537
133,2010-10-11,0.029304959,0.019982519,0.024130492,0.020283537
134,2010-10-12,0.029304959,0.019982519,0.024130492,0.020283537
135,2010-10-13,0.02948775,0.020131983,0.02424008,0.020365016
136,2010-10-14,0.029610143,0.020221836,0.024303959,0.020412277
137,2010-10-15,0.031741516,0.022692181,0.026110629,0.021785991
138,2010-10-16,0.031741516,0.022692181,0.026110629,0.021785991
139,2010-10-17,0.031741516,0.022692181,0.026110629,0.021785991
140,2010-10-18,0.032081093,0.023084017,0.026411582,0.022016109
141,2010-10-19,0.032170244,0.023140646,0.026452158,0.022046682
142,2010-10-20,0.032170244,0.023140646,0.026452158,0.022046682
143,2010-10-21,0.030791236,0.021551849,0.025265987,0.021164387
144,2010-10-22,0.030791236,0.021551849,0.025265987,0.021164387
145,2010-10-23,0.030791236,0.021551849,0.025265987,0.021164387
146,2010-10-24,0.030791236,0.021551849,0.025265987,0.021164387
147,2010-10-25,0.030791236,0.021551849,0.025265987,0.021164387
148,2010-10-26,0.030791236,0.021551849,0.025265987,0.021164387
149,2010-10-27,0.032867452,0.021981849,0.025474366,0.021302258
150,2010-10-28,0.032867452,0.021981849,0.025474366,0.021302258
151,2010-10-29,0.032246483,0.025090841,0.024648922,0.02298136
152,2010-10-30,0.032246483,0.025090841,0.024648922,0.02298136
153,2010-10-31,0.032246483,0.025090841,0.024648922,0.02298136
154,2010-11-01,0.031115462,0.024579137,0.024189158,0.022711492
155,2010-11-02,0.031115462,0.024579137,0.024189158,0.022711492
156,2010-11-03,0.031115462,0.024579137,0.024189158,0.022711492
157,2010-11-04,0.031076766,0.024557888,0.024163229,0.022698653
158,2010-11-05,0.035040807,0.028887598,0.027512667,0.025140753
159,2010-11-06,0.035040807,0.028887598,0.027512667,0.025140753
160,2010-11-07,0.035040807,0.028887598,0.027512667,0.025140753
161,2010-11-08,0.035040807,0.028887598,0.027512667,0.025140753
162,2010-11-09,0.034678863,0.028659615,0.027283455,0.024998744
163,2010-11-10,0.03499886,0.029256891,0.027674925,0.025316757
164,2010-11-11,0.03499886,0.029256891,0.027674925,0.025316757
165,2010-11-12,0.03499886,0.029256891,0.027674925,0.025316757
166,2010-11-13,0.03499886,0.029256891,0.027674925,0.025316757
167,2010-11-14,0.03499886,0.029256891,0.027674925,0.025316757
168,2010-11-15,0.033181346,0.023656404,0.02357511,0.022183248
169,2010-11-16,0.032227517,0.022253302,0.022381257,0.021340946
170,2010-11-17,0.028820864,0.021307723,0.022038625,0.021155888
171,2010-11-18,0.031663432,0.028020729,0.027024951,0.024889318
172,2010-11-19,0.031663432,0.028020729,0.027024951,0.024889318
173,2010-11-20,0.031663432,0.028020729,0.027024951,0.024889318
174,2010-11-21,0.031663432,0.028020729,0.027024951,0.024889318
175,2010-11-22,0.031663432,0.028020729,0.027024951,0.024889318
176,2010-11-23,0.031663432,0.028020729,0.027024951,0.024889318
177,2010-11-24,0.03128156,0.027810954,0.026892048,0.024793984
178,2010-11-25,0.03128156,0.027810954,0.026892048,0.024793984
179,2010-11-26,0.03128156,0.027810954,0.026892048,0.024793984
180,2010-11-27,0.03128156,0.027810954,0.026892048,0.024793984
181,2010-11-28,0.03128156,0.027810954,0.026892048,0.024793984
182,2010-11-29,0.03128156,0.027810954,0.026892048,0.024793984
183,2010-11-30,0.03128156,0.027810954,0.026892048,0.024793984
184,2010-12-01,0.03051739,0.027347207,0.026646929,0.024612306
185,2010-12-02,0.027347207,0.026646929,0.024612306,0.023919451
186,2010-12-03,0.022417355,0.02282522,0.021831319,0.021791336
187,2010-12-04,0.022417355,0.02282522,0.021831319,0.021791336
188,2010-12-05,0.022417355,0.02282522,0.021831319,0.021791336
189,2010-12-06,0.022417355,0.02282522,0.021831319,0.021791336
190,2010-12-07,0.022976415,0.023227246,0.022162837,0.022009328
191,2010-12-08,0.022976415,0.023227246,0.022162837,0.022009328
192,2010-12-09,0.022976415,0.023227246,0.022162837,0.022009328
193,2010-12-10,0.0267578,0.026209134,0.02427218,0.023662908
194,2010-12-11,0.0267578,0.026209134,0.02427218,0.023662908
195,2010-12-12,0.0267578,0.026209134,0.02427218,0.023662908
196,2010-12-13,0.0267578,0.026209134,0.02427218,0.023662908
197,2010-12-14,0.02864572,0.02735342,0.025077255,0.024274107
198,2010-12-15,0.029724061,0.028240486,0.025740721,0.024766821
199,2010-12-16,0.03075998,0.029319869,0.026566038,0.025389103
200,2010-12-17,0.03075998,0.029319869,0.026566038,0.025389103
201,2010-12-18,0.03075998,0.029319869,0.026566038,0.025389103
202,2010-12-19,0.03075998,0.029319869,0.026566038,0.025389103
203,2010-12-20,0.03075998,0.029319869,0.026566038,0.025389103
204,2010-12-21,0.03075998,0.029319869,0.026566038,0.025389103
205,2010-12-22,0.03075998,0.029319869,0.026566038,0.025389103
206,2010-12-23,0.030198902,0.028946656,0.026291723,0.025172418
207,2010-12-24,0.030198902,0.028946656,0.026291723,0.025172418
208,2010-12-25,0.030198902,0.028946656,0.026291723,0.025172418
209,2010-12-26,0.030198902,0.028946656,0.026291723,0.025172418
210,2010-12-27,0.030198902,0.028946656,0.026291723,0.025172418
211,2010-12-28,0.030198902,0.028946656,0.026291723,0.025172418
212,2010-12-29,0.030198902,0.028946656,0.026291723,0.025172418
213,2010-12-30,0.030198902,0.028946656,0.026291723,0.025172418
214,2010-12-31,0.030198902,0.028946656,0.026291723,0.025172418
215,2011-01-01,0.030198902,0.028946656,0.026291723,0.025172418
216,2011-01-02,0.030198903,0.028946656,0.026291723,0.025172418
217,2011-01-03,0.030437564,0.029045011,0.026364683,0.025226153
218,2011-01-04,0.030437564,0.029045011,0.026364683,0.025226153
219,2011-01-05,0.030437564,0.029045011,0.026364683,0.025226153
220,2011-01-06,0.030437564,0.029045011,0.026364683,0.025226153
221,2011-01-07,0.033449657,0.031498087,0.028334266,0.026680068
222,2011-01-08,0.033449657,0.031498087,0.028334266,0.026680068
223,2011-01-09,0.033449657,0.031498087,0.028334266,0.026680068
224,2011-01-10,0.033449657,0.031498087,0.028334266,0.026680068
225,2011-01-11,0.032919692,0.031093088,0.028005456,0.026446479
226,2011-01-12,0.033257391,0.031460389,0.028211921,0.026655963
227,2011-01-13,0.032361245,0.030756911,0.027681069,0.026236179
228,2011-01-14,0.03365234,0.032314659,0.028905665,0.027177278
229,2011-01-15,0.03365234,0.032314659,0.028905665,0.027177278
230,2011-01-16,0.03365234,0.032314659,0.028905665,0.027177278
